player_alias,start_date,end_date,pings_count,pings_mean,pings_ratio,pings_median,pings_sum,pings_std,win_pings_count,win_pings_mean,win_pings_median,win_pings_sum,win_pings_std,win_pings_ratio_mean,win_pings_ratio_std,lose_pings_count,lose_pings_mean,lose_pings_median,lose_pings_sum,lose_pings_std,lose_pings_ratio_mean,lose_pings_ratio_std
titan,2022-11-02,2023-06-27,651,33.227,1.234,29,21631,21.851,354,34.226,31,12116,20.417,1.282,0.664,297,32.037,26,9515,23.427,1.177,0.703
tinows,2022-11-02,2023-06-29,719,27.451,1.056,26,19737,16.54,384,29.057,27,11158,16.025,1.137,0.599,335,25.609,24,8579,16.949,0.962,0.569
jojo,2022-11-04,2023-06-17,298,12.074,0.467,11,3598,8.816,179,11.743,11,2102,8.962,0.46,0.29,119,12.571,11,1496,8.605,0.478,0.298
robo,2022-11-02,2023-06-29,523,18.474,0.71,17,9662,10.378,280,16.929,16,4740,9.107,0.672,0.318,243,20.255,19,4922,11.434,0.754,0.367
redbert,2022-11-03,2023-06-24,492,10.691,0.416,9,5260,7.993,267,11.925,10,3184,8.087,0.47,0.294,225,9.227,8,2076,7.643,0.352,0.286
aegis,2022-11-03,2023-06-12,576,62.931,2.292,59,36248,35.22,298,63.43,58.5,18902,35.675,2.297,0.931,278,62.396,59.5,17346,34.783,2.287,0.985
ceos,2022-11-07,2023-06-30,664,48.023,1.888,45,31887,24.871,367,50.324,46,18469,24.627,2.023,0.745,297,45.178,42,13418,24.918,1.721,0.782
cariok,2022-11-03,2023-06-29,532,56.338,2.161,53,29972,25.434,287,56.429,55,16195,25.936,2.201,0.679,245,56.233,53,13777,24.884,2.114,0.682
dynquedo,2022-12-20,2023-06-30,367,44.629,1.703,42,16379,23.354,205,47.385,44,9714,24.244,1.804,0.768,162,41.142,38,6665,21.754,1.575,0.714
zay,2022-11-02,2023-06-30,545,37.028,1.419,34,20180,20.359,290,38.862,35.5,11270,19.757,1.487,0.62,255,34.941,31,8910,20.867,1.343,0.622
damage,2023-01-09,2023-05-18,412,47.58,1.819,43,19603,27.879,220,47.077,43,10357,27.478,1.815,0.893,192,48.156,44,9246,28.393,1.824,0.858
croc,2023-01-08,2023-06-30,563,42.108,1.609,38,23707,25.05,294,40.854,38,12011,25.478,1.593,0.82,269,43.48,39,11696,24.549,1.627,0.752
brance,2023-01-25,2023-07-01,864,78.78,3.133,73,68066,37.574,461,78.44,74,36161,36.941,3.102,1.112,403,79.169,73,31905,38.327,3.169,1.146
ayu,2023-03-27,2023-04-01,11,8.545,0.361,3,94,10.453,10,8.6,3,86,11.017,0.348,0.368,1,8,8,8,,0.498,
tay,2022-11-02,2023-07-01,615,20.933,0.778,19,12874,14.095,320,22.491,20,7197,14.255,0.85,0.477,295,19.244,17,5677,13.745,0.7,0.423
ninjakiwi,2022-11-04,2023-07-01,803,62.166,2.402,59,49919,30.96,432,64.898,61,28036,30.739,2.524,0.889,371,58.984,56,21883,30.954,2.26,0.921
